Mpp6:	24.947255446703572
Dfna5:	16.27091813658978
Osbpl3:	18.449165936634607
Cycs:	6.070913213770358
5430402O13Rik:	21.802645502645507
Mir6371:	0
4921507P07Rik:	18.478338703902615
Npvf:	16.666666666666668
C530044C16Rik:	28.804025484187427
Mir148a:	50.0
Gm6559:	16.2342207224097
Nfe2l3:	18.795440670440673
Hnrnpa2b1:	5.057471264367817
Cbx3:	13.292435634540896
Snx10:	13.708994708994712
Skap2:	25.091460967288775
Halr1:	3.389830508474576
Hoxa1:	0.0
Hotairm1:	2.1739130434782608
Hoxa2:	0.6410256410256423
Hoxaas2:	7.389162561576355
Hoxa3:	4.963631803360922
Hoxa4:	1.010101010101009
Hoxaas3:	5.4563492063492065
Hoxa5:	2.4390243902439024
Hoxa6:	0.833333333333335
Mira:	0.0
Hoxa7:	3.7037037037037037
Hoxa9:	7.371794871794871
Mir196b:	50.0
Hoxa10:	6.7517006802721085
Hoxa11:	3.1746031746031744
Hoxa11os:	1.7857142857142858
Hoxa13:	2.1739130434782608
Hottip:	9.34959349593496
Evx1os:	12.666666666666664
Evx1:	29.33333333333334
1700094M24Rik:	24.047619047619044
Hibadh:	26.413192560119093
Tax1bp1:	28.60587138146194
Jazf1:	24.271192710279013
Gm4872:	5.882352941176471
9430076C15Rik:	13.393835509220125
Creb5:	14.82627635010949
Tril:	17.94871794871795
Cpvl:	17.56314966747789
4921529L05Rik:	16.521335807050093
Chn2:	25.418444928034432
9130019P16Rik:	15.935378091408623
Prr15:	2.380952380952381
Wipf3:	11.422773654916512
Scrn1:	10.663802728022912
Fkbp14:	19.715821812596005
Plekha8:	20.290184070671874
Mturn:	4.217355773478223
Znrf2:	12.848248934599912
Nod1:	14.770723104056435
Ggct:	22.37285132021974
Gars:	23.149677605123152
Crhr2:	16.33719327267714
Inmt:	18.666666666666668
Fam188b:	27.081840432180577
Aqp1:	13.84180790960452
Ghrhr:	10.227272727272727
6430584L05Rik:	2.9411764705882355
Adcyap1r1:	30.54458519622454
Neurod6:	14.285714285714286
Gm3279:	11.210317460317459
Ccdc129:	15.418513170300235
Ppp1r17:	3.3783783783783785
Pde1c:	26.30212813200754
Lsm5:	7.5
Avl9:	28.438079744270343
Kbtbd2:	11.2671735360811
Fkbp9:	18.696640642972167
Nt5c3:	19.98750203771124
Vmn1r4:	56.66666666666667
Vmn1r5:	50.0
Vmn1r6:	0.0
Vmn1r7:	58.33333333333333
Vmn1r8:	8.333333333333337
Vmn1r9:	0.0
Vmn1r10:	0.0
Vmn1r11:	50.0
Vmn1r12:	0.0
Vmn1r13:	100.0
Vmn1r14:	100.0
Vmn1r15:	25.0
Vmn1r16:	0
Vmn1r17:	0.0
Vmn1r18:	0.0
Vmn1r19:	0.0
Vmn1r20:	0
Ppm1k:	27.154060445727115
Herc6:	20.83432574916259
Pyurf:	30.75268817204301
Lancl2:	22.16500553709856
Vopp1:	12.384175691937422
Vmn1r21:	0.0
Vmn1r22:	0
Vmn1r23:	0
Vmn1r24:	0.0
Vmn1r25:	0.0
Vmn1r26:	0.0
Vmn1r27:	33.333333333333336
Vmn1r28:	0.0
Vmn1r29:	66.66666666666667
Vmn1r30:	25.0
Vmn1r31:	0
Abcg2:	15.575293821566524
Herc3:	34.72465353756383
Nap1l5:	17.676767676767675
Fam13a:	13.157704654895666
Tigd2:	23.32251082251082
Gprin3:	10.51874678993323
